churned,account_length,area_code,intl_plan,number_customer_service_calls,number_vmail_messages,phone_number,state,total_day_calls,total_day_charge,total_day_minutes,total_eve_calls,total_eve_charge,total_eve_minutes,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,voice_mail_plan,total_night_minutes,_dmIndex_,_PartInd_,M_FILTER
0,86,415,no,1,0,334-1337,SD,75,38.06,223.9,109,13.23,155.7,9,1.97,7.3,143,6.76,no,150.2,3000122,1,0
0,96,510,no,1,0,359-1441,PA,125,30.52,179.5,139,13.8,162.3,2,1.78,6.6,133,11.9,no,264.5,3000123,0,0
0,190,415,no,1,0,391-5442,ND,102,28.8,169.4,113,21.55,253.5,5,2.4,8.9,93,8.87,no,197.1,3000124,1,0
0,80,408,no,1,0,374-1551,CT,90,20.08,118.1,77,12.27,144.3,6,2.21,8.2,86,10.13,no,225.1,3000125,0,0
1,108,415,no,4,0,399-6233,SC,105,19.04,112,110,16.46,193.7,4,1.11,4.1,93,9.4,no,208.9,3000126,1,0
0,97,408,no,0,32,337-4749,MI,129,28.63,168.4,97,19.2,225.9,7,2.3,8.5,95,8.63,yes,191.8,3000127,0,0
0,84,415,no,0,42,403-5552,VT,112,36.43,214.3,107,16,188.2,10,3.05,11.3,117,15.01,yes,333.5,3000128,0,0
1,65,415,no,4,0,405-3097,OH,139,41.77,245.7,113,20.56,241.9,5,1.13,4.2,117,12.84,no,285.3,3000129,1,0
0,131,415,no,1,34,364-9240,VT,134,26.62,156.6,95,6.04,71,10,3.62,13.4,120,11.78,yes,261.7,3000130,1,0
0,58,415,yes,1,43,404-9348,IL,96,24.28,142.8,100,23.15,272.3,4,2.4,8.9,105,8.7,yes,193.4,3000131,1,0
0,36,415,no,3,0,336-1462,MO,115,34.41,202.4,115,19.61,230.7,2,2.75,10.2,127,9.09,no,202,3000132,2,0
0,54,415,no,1,0,364-8981,WI,119,19.86,116.8,123,10.46,123.1,2,3.24,12,101,9.79,no,217.5,3000133,1,0
0,45,510,no,1,0,412-7606,NJ,110,26.47,155.7,103,22.13,260.3,1,2.97,11,98,8.65,no,192.2,3000134,1,0
0,125,415,no,2,39,380-6342,GA,107,40.14,236.1,110,24.58,289.2,4,2.46,9.1,107,7.89,yes,175.4,3000135,2,0
0,72,415,no,2,21,418-3017,VT,113,23.48,138.1,83,22.11,260.1,2,2.21,8.2,118,6.09,yes,135.4,3000136,0,0
0,141,408,no,3,0,367-3648,CT,108,8.82,51.9,83,13.77,162,3,2.73,10.1,115,10.06,no,223.5,3000137,1,0
0,113,510,no,0,0,341-5892,AZ,116,13.82,81.3,124,18.75,220.6,3,2.4,8.9,113,10.61,no,235.7,3000138,2,0
0,20,415,no,0,35,334-4678,SD,98,29.16,171.5,127,13.01,153.1,3,1.92,7.1,125,7.45,yes,165.6,3000139,0,0
0,212,415,no,1,0,366-6751,CT,96,21.42,126,80,12.27,144.3,3,2.05,7.6,102,13.63,no,302.8,3000140,1,0
0,99,415,yes,4,0,397-8512,IN,127,33.52,197.2,92,13.26,156,6,2.67,9.9,99,9.18,no,204.1,3000141,1,0
0,94,510,no,1,0,367-9495,OH,62,33,194.1,54,19.31,227.2,4,4.13,15.3,115,8.57,no,190.4,3000142,0,0
0,40,510,no,1,0,379-2991,NY,105,19.67,115.7,113,10.86,127.8,6,2.51,9.3,91,4.84,no,107.5,3000143,0,0
0,86,510,no,3,29,356-4832,NE,118,26.72,157.2,136,16.69,196.3,5,2.27,8.4,109,10.2,yes,226.7,3000144,2,0
1,101,415,no,3,0,413-4040,OK,85,45.85,269.7,86,17.65,207.6,15,1.22,4.5,107,9.64,no,214.2,3000145,1,0
0,170,415,no,0,0,366-4444,NC,107,41.89,246.4,124,19.39,228.1,8,2.46,9.1,95,7.49,no,166.4,3000146,0,0
0,105,510,no,1,0,394-3806,HI,121,38.66,227.4,89,22.82,268.5,4,3.51,13,82,6.45,no,143.3,3000147,0,0
0,103,415,no,0,0,368-5647,UT,110,32.27,189.8,83,9.82,115.5,4,3.29,12.2,103,8.61,no,191.3,3000148,1,0
0,140,415,yes,4,27,412-1076,MD,124,32.11,188.9,102,13.68,160.9,5,3.11,11.5,100,8.9,yes,197.7,3000149,1,0
0,101,510,no,1,0,413-7655,VT,0,0,0,119,16.33,192.1,4,1.94,7.2,95,7.6,no,168.8,3000150,1,0
0,98,408,no,1,19,371-2316,TX,87,18.79,110.5,97,19.36,227.8,4,2.97,11,84,10.96,yes,243.6,3000151,1,0
0,104,408,no,4,0,420-3346,AZ,116,28.49,167.6,112,18.63,219.2,2,3.16,11.7,94,9.72,no,215.9,3000152,1,0
0,115,415,no,3,0,367-3971,VA,90,22.44,132,75,16.79,197.5,0,0,0,114,7.91,no,175.8,3000153,1,0
0,112,408,no,0,0,417-5813,WI,88,28.53,167.8,81,21.07,247.9,4,3.21,11.9,108,6.98,no,155.1,3000154,1,0
0,70,415,no,1,0,421-8535,NE,86,36.28,213.4,77,17.4,204.7,4,1.54,5.7,101,11.55,no,256.6,3000155,1,0
0,126,510,no,0,0,375-1721,KY,120,29.82,175.4,71,8.36,98.3,1,2.86,10.6,93,9.09,no,201.9,3000156,1,0
0,87,510,no,3,39,331-8484,NV,113,14.04,82.6,63,19.07,224.4,1,2.57,9.5,88,7.36,yes,163.6,3000157,2,0
1,125,510,no,4,0,366-5829,MT,80,24.34,143.2,94,7.49,88.1,7,2.38,8.8,135,10.49,no,233.2,3000158,0,0
0,86,415,no,1,0,367-7906,MO,139,21.34,125.5,93,22.93,269.8,8,2.4,8.9,110,10.61,no,235.8,3000159,1,0
1,73,415,no,6,31,412-2520,MS,105,13.99,82.3,91,21.77,256.1,2,3.19,11.8,98,10.33,yes,229.6,3000160,0,0
0,232,408,no,1,0,386-9177,NM,104,28.15,165.6,115,16.65,195.9,3,3.19,11.8,77,5.32,no,118.3,3000161,1,0
0,1,415,no,0,30,420-6780,NJ,95,31.13,183.1,110,19.77,232.6,2,2.27,8.4,110,11.17,yes,248.3,3000162,0,0
0,133,408,no,1,0,401-1454,NH,91,27.56,162.1,94,18.03,212.1,5,3.29,12.2,78,11.72,no,260.4,3000163,1,0
0,103,510,no,1,0,379-2508,NC,84,28.32,166.6,91,16.35,192.4,6,2.08,7.7,115,7.56,no,167.9,3000164,1,0
0,131,415,no,1,24,353-3492,MT,60,23.1,135.9,78,19.82,233.2,4,2.54,9.4,121,9.48,yes,210.6,3000165,1,0
0,95,408,no,0,20,406-4840,SD,78,28.17,165.7,94,18.33,215.6,6,2.65,9.8,91,10.95,yes,243.3,3000166,1,0
0,182,415,no,1,0,391-7982,VA,90,29.94,176.1,106,14.87,174.9,4,2.62,9.7,134,10.56,no,234.7,3000167,0,0
0,99,510,no,0,0,379-9821,LA,89,24.19,142.3,95,17.38,204.5,1,2.46,9.1,114,9.14,no,203.1,3000168,0,0
0,27,510,no,3,0,398-7414,NV,121,30.19,177.6,92,25.23,296.8,3,2.05,7.6,106,8.68,no,192.9,3000169,2,0
0,141,408,no,1,0,338-8566,AK,74,14.14,83.2,104,16.2,190.6,7,2.89,10.7,79,6.77,no,150.5,3000170,1,0
0,29,415,yes,2,37,397-3058,OH,101,39.95,235,79,15.58,183.3,7,1.54,5.7,106,6.29,yes,139.8,3000171,1,0
0,65,415,no,2,0,389-8096,NM,95,17.97,105.7,100,12.05,141.8,12,1.78,6.6,105,8.12,no,180.5,3000172,1,0
1,81,415,yes,3,0,393-6840,MI,68,25.4,149.4,98,14.61,171.9,3,4.83,17.9,97,9.65,no,214.5,3000173,1,0
0,37,415,no,0,20,360-7404,MN,81,45,264.7,110,18.4,216.5,7,2.81,10.4,102,9.48,yes,210.7,3000174,2,0
0,107,510,no,1,31,411-5740,WY,45,27.25,160.3,70,18.83,221.5,1,1.51,5.6,109,11.77,yes,261.6,3000175,1,0
0,127,415,yes,1,28,412-3726,WY,117,16.3,95.9,131,13.56,159.5,3,2.81,10.4,132,6.88,yes,152.8,3000176,0,0
0,78,408,no,0,0,372-7326,WA,77,23.92,140.7,114,16.59,195.2,5,3.16,11.7,107,11.38,no,252.9,3000177,1,0
0,55,510,no,2,0,338-9873,NM,148,20.35,119.7,96,19.7,231.8,2,1.24,4.6,113,10,no,222.3,3000178,1,0
0,86,415,no,2,30,383-4322,VA,84,16.98,99.9,125,22.4,263.5,7,2.65,9.8,90,11.46,yes,254.7,3000179,1,0
0,176,415,no,2,0,401-7654,RI,108,42.65,250.9,100,14.57,171.4,6,2.59,9.6,85,6.69,no,148.6,3000180,1,0
0,96,415,yes,2,0,410-5455,AL,117,34.1,200.6,120,24.61,289.5,5,3.02,11.2,95,4.42,no,98.3,3000181,1,0
0,11,510,no,1,38,419-4310,WV,130,35.67,209.8,84,16.71,196.6,7,1.89,7,79,10.49,yes,233,3000182,1,0
0,48,415,no,1,34,367-2056,WV,70,33.66,198,121,23.26,273.7,4,2.05,7.6,71,9.81,yes,217.9,3000183,1,0
0,127,510,no,1,0,363-6695,NJ,107,40.77,239.8,121,10.96,128.9,5,3.05,11.3,110,11.25,no,249.9,3000184,1,0
0,63,415,no,0,0,374-6217,TN,75,27.97,164.5,118,12.57,147.9,2,3.02,11.2,97,11.37,no,252.7,3000185,0,0
0,79,510,no,1,0,337-9569,MI,107,37.55,220.9,97,16.34,192.2,2,3.29,12.2,74,7.25,no,161,3000186,1,0
0,47,408,no,2,37,350-9720,UT,150,19.18,112.8,97,20.73,243.9,6,3.56,13.2,112,8.04,yes,178.7,3000187,1,0
1,89,415,yes,0,19,380-4080,IL,114,19.14,112.6,132,22.24,261.7,2,3,11.1,116,5.56,yes,123.5,3000188,1,0
0,83,510,no,1,26,333-7460,MI,117,38.49,226.4,97,19.95,234.7,7,2.92,10.8,82,6.01,yes,133.6,3000189,0,0
0,126,415,yes,4,34,378-3722,WI,118,41.63,244.9,105,18.67,219.6,6,2.62,9.7,136,9.49,yes,210.8,3000190,1,0
0,60,510,no,2,0,353-9339,ND,99,34.54,203.2,131,20.04,235.8,6,4.08,15.1,112,10.12,no,224.9,3000191,0,0
0,122,415,no,0,0,386-6535,VT,115,23.24,136.7,137,20.66,243.1,4,2.32,8.6,110,8.5,no,188.9,3000192,1,0
0,136,408,no,1,0,403-5575,WA,97,25.94,152.6,85,17.76,208.9,10,1.35,5,99,5.36,no,119.1,3000193,1,0
0,172,408,no,1,47,331-5962,NC,102,46.73,274.9,118,15.86,186.6,2,2.38,8.8,123,11.03,yes,245,3000194,2,0
1,102,510,no,1,0,390-9627,ME,116,33.27,195.7,87,17.77,209.1,3,2.24,8.3,73,9.05,no,201.1,3000195,1,0
0,113,415,yes,1,0,406-4560,SD,82,34.73,204.3,115,16.05,188.8,7,2.48,9.2,97,6.27,no,139.4,3000196,0,0
0,79,415,no,3,0,359-6931,WV,99,37.79,222.3,82,12.43,146.2,4,2.4,8.9,82,12.4,no,275.6,3000197,1,0
0,55,510,no,1,8,331-7342,ID,104,37.83,222.5,94,14.58,171.5,2,2.62,9.7,114,16.99,yes,377.5,3000198,1,0
0,111,415,no,2,28,367-2227,LA,104,21.9,128.8,52,13.37,157.3,2,2.78,10.3,76,6.63,yes,147.4,3000199,2,0
0,160,415,no,0,0,335-8836,GA,105,29.63,174.3,107,14.56,171.3,2,2.24,8.3,131,9.94,no,220.8,3000200,1,0
0,110,415,no,4,0,398-6703,FL,110,41.23,242.5,140,13.8,162.3,3,2.11,7.8,86,8.28,no,184.1,3000201,1,0
0,192,415,no,4,0,370-8379,CO,101,37.67,221.6,50,24.24,285.2,6,3.43,12.7,83,7.53,no,167.4,3000202,0,0
0,93,408,no,0,0,335-3880,NV,100,19.43,114.3,103,18.79,221.1,9,2.94,10.9,88,5.68,no,126.3,3000203,1,0
0,101,415,no,2,33,375-8761,IN,137,37.35,219.7,94,15.88,186.8,2,2.57,9.5,113,8.3,yes,184.5,3000204,1,0
0,77,510,no,2,0,367-1398,VA,136,24.63,144.9,115,12.86,151.3,3,3.32,12.3,73,11.36,no,252.4,3000205,0,0
0,105,415,no,2,40,395-7857,UT,111,40.21,236.5,110,9.95,117,3,2.19,8.1,115,9.95,yes,221.1,3000206,1,0
1,133,408,no,2,44,398-8745,UT,80,29.58,174,113,17.8,209.4,7,3.81,14.1,87,10.08,yes,224.1,3000207,0,0
0,131,408,no,1,0,386-3717,MO,95,18.62,109.5,48,28.23,332.1,7,1.78,6.6,108,11.64,no,258.6,3000208,0,0
0,106,510,no,1,33,330-1175,CT,120,13.87,81.6,85,20.03,235.6,4,2.67,9.9,113,6.79,yes,150.9,3000209,1,0
0,118,415,no,1,0,418-6752,HI,113,22.68,133.4,92,10.29,121,4,1.59,5.9,129,11.46,no,254.7,3000210,0,0
0,125,408,no,1,0,349-6464,MD,94,23.31,137.1,83,17.83,209.8,4,2.32,8.6,114,10.73,no,238.4,3000211,1,0
0,95,415,no,0,0,366-7331,VA,88,33.49,197,68,16.18,190.4,8,4.35,16.1,104,9.54,no,211.9,3000212,1,0
0,80,415,no,3,0,361-8288,MT,160,33.68,198.1,87,13.32,156.7,3,2.51,9.3,76,8.19,no,182.1,3000213,1,0
0,145,408,no,0,0,377-6635,SC,78,6.72,39.5,106,22.47,264.3,6,2.7,10,90,8.36,no,185.8,3000214,0,0
0,37,408,no,2,0,408-1513,CO,107,33.92,199.5,110,17.64,207.5,4,2.19,8.1,123,3.78,no,83.9,3000215,1,0
0,87,415,no,1,0,370-7546,ID,93,26.66,156.8,68,18.34,215.8,6,2.05,7.6,77,10.05,no,223.3,3000216,1,0
0,69,415,no,3,0,389-4278,AL,85,31.18,183.4,100,20.2,237.6,5,2.43,9,94,10.26,no,228,3000217,2,0
0,83,510,no,1,0,379-3012,CO,120,22.51,132.4,101,10.34,121.6,2,2.32,8.6,84,8.9,no,197.7,3000218,1,0
0,195,415,no,0,0,355-3620,UT,108,10.74,63.2,88,18.72,220.2,3,1.38,5.1,99,8.28,no,184,3000219,1,0
1,67,415,yes,0,35,413-7743,DE,59,30.79,181.1,116,18.35,215.9,4,4.56,16.9,106,9.73,yes,216.3,3000220,0,0
0,75,510,no,3,27,372-2296,OH,102,19.98,117.5,127,17.58,206.8,7,1.13,4.2,114,8.75,yes,194.4,3000221,0,0
0,123,415,no,0,27,333-9728,RI,79,37.18,218.7,78,13.89,163.4,1,4.05,15,116,7.82,yes,173.8,3000222,1,0
0,41,415,no,1,41,415-6110,FL,95,35.24,207.3,120,11.67,137.3,3,1.59,5.9,74,5.21,yes,115.7,3000223,1,0
0,75,415,no,0,0,340-9803,OH,99,25.6,150.6,83,25.63,301.5,5,2.19,8.1,104,7.14,no,158.7,3000224,1,0
1,76,415,yes,1,0,400-7002,MD,66,46.46,273.3,121,22.41,263.6,7,3.24,12,84,7.43,no,165.2,3000225,1,0
0,86,415,yes,1,0,395-7435,IL,120,45.24,266.1,92,15.47,182,4,2.78,10.3,103,9.29,no,206.5,3000226,1,0
0,140,408,no,0,0,336-7143,PA,89,19.18,112.8,65,13.32,156.7,6,4.4,16.3,85,11.23,no,249.6,3000227,2,0
0,70,415,no,3,0,352-2175,AZ,112,17.8,104.7,104,6.99,82.2,7,4.27,15.8,110,7.62,no,169.4,3000228,1,0
0,121,510,no,0,35,346-6352,NH,62,32.95,193.8,97,16.8,197.6,4,1.59,5.9,95,9.85,yes,218.8,3000229,0,0
0,112,415,no,1,0,405-7467,RI,102,28.66,168.6,117,25.33,298,5,2.65,9.8,110,8.76,no,194.7,3000230,1,0
0,118,415,no,2,0,379-8526,HI,122,43.04,253.2,78,17.09,201,7,2.62,9.7,108,8.79,no,195.3,3000231,0,0
0,66,415,no,1,16,410-5713,NJ,92,29.7,174.7,105,19.73,232.1,2,2.4,8.9,98,13.74,yes,305.4,3000232,2,0
0,78,408,no,0,0,408-5916,WI,102,14.79,87,64,16.46,193.6,5,2.97,11,120,9.26,no,205.8,3000233,1,0
0,129,415,no,2,34,370-5626,MD,79,34.77,204.5,113,11.29,132.8,9,4,14.8,117,8.55,yes,190.1,3000234,0,0
0,6,408,no,3,0,408-1331,OR,93,38.51,226.5,122,12.93,152.1,4,2.54,9.4,98,7.4,no,164.4,3000235,0,0
0,107,510,yes,1,0,419-9688,NV,91,39.8,234.1,105,13.86,163.1,3,2.7,10,100,12.71,no,282.5,3000236,0,0
1,107,415,yes,3,0,343-5219,AR,106,22.66,133.3,89,15.55,182.9,2,3.48,12.9,123,10.85,no,241.1,3000237,0,0
0,138,415,no,1,0,401-5586,MT,87,22.76,133.9,110,14.14,166.4,3,4.16,15.4,139,8.71,no,193.5,3000238,1,0
0,103,510,no,0,0,377-9178,CT,104,27.23,160.2,70,11.81,138.9,2,2.62,9.7,97,14.06,no,312.5,3000239,0,0
0,116,415,no,0,44,345-5639,UT,94,39.2,230.6,103,19.05,224.1,2,3,11.1,76,10.98,yes,244,3000240,0,0
0,189,408,no,2,0,336-3488,GA,84,38.66,227.4,81,14.96,176,4,1.7,6.3,120,9.27,no,206.1,3000241,0,0
0,161,415,no,2,0,414-6426,NV,120,12.38,72.8,120,22.7,267.1,2,3.19,11.8,91,10.01,no,222.5,3000242,0,0
0,1,415,no,1,0,335-5591,TN,107,33.34,196.1,82,25.2,296.5,2,1.89,7,91,9.52,no,211.5,3000243,1,0
0,89,408,no,1,0,421-9144,DE,110,33.51,197.1,115,14.1,165.9,3,3.46,12.8,106,10.23,no,227.3,3000244,0,0
0,64,408,no,1,0,422-7728,NY,126,37.33,219.6,100,25.78,303.3,5,2.62,9.7,65,6.95,no,154.5,3000245,1,0
1,126,415,no,4,30,344-3466,MT,90,26.08,153.4,97,12.87,151.4,4,3.46,12.8,97,6.92,yes,153.8,3000246,2,0
0,129,415,no,2,0,398-7978,IA,85,36.72,216,114,15.89,186.9,10,1.32,4.9,109,9.48,no,210.7,3000247,0,0
0,128,510,no,0,32,346-8368,VT,136,37.89,222.9,80,22.27,262,4,2.92,10.8,101,8.61,yes,191.4,3000248,1,0
0,81,415,no,3,36,392-2722,LA,120,19.7,115.9,95,20.11,236.6,6,3.16,11.7,90,11.48,yes,255,3000249,0,0
0,114,510,no,1,0,393-3274,MT,101,32.27,189.8,80,12.55,147.7,5,2.86,10.6,121,7.77,no,172.7,3000250,0,0
0,50,408,no,0,0,339-4636,NH,102,26.3,154.7,108,25.33,298,3,3,11.1,95,9.46,no,210.2,3000251,0,0
0,86,415,no,3,0,349-7138,WV,104,23.19,136.4,110,17.21,202.5,1,3.11,11.5,86,10.38,no,230.7,3000252,0,0
0,96,408,no,1,0,363-3295,ID,86,28.99,170.5,88,23.59,277.5,6,3.29,12.2,117,7.31,no,162.5,3000253,1,0
0,72,510,no,0,0,407-9830,AZ,88,46.31,272.4,125,9.17,107.9,2,3.43,12.7,81,8.35,no,185.5,3000254,1,0
0,64,510,no,8,40,333-8822,SC,116,35.7,210,89,19.78,232.7,4,1.59,5.9,94,7.6,yes,168.8,3000255,0,0
0,57,415,yes,2,17,419-6418,WV,94,40.21,236.5,94,13.86,163.1,3,3.29,12.2,117,10.65,yes,236.7,3000256,1,0
0,65,510,no,2,0,351-8955,OH,117,26.16,153.9,122,18.71,220.1,3,2.3,8.5,147,12.62,no,280.5,3000257,0,0
0,163,408,no,1,0,338-1840,MD,120,37.91,223,98,19.3,227,5,2.38,8.8,125,8.47,no,188.3,3000258,1,0
0,136,415,no,2,0,336-6997,MD,74,42.91,252.4,81,14.27,167.9,3,2.89,10.7,110,11.17,no,248.3,3000259,1,0
0,116,408,no,1,0,408-6266,MN,84,33.64,197.9,113,14.29,168.1,6,3.24,12,145,10.79,no,239.8,3000260,1,0
0,93,408,no,3,0,332-4291,NE,74,25.91,152.4,88,23.34,274.6,5,1.78,6.6,120,11.35,no,252.2,3000261,1,0
0,142,510,no,3,40,355-7895,MN,105,40.36,237.4,93,14.95,175.9,3,2.48,9.2,110,9.46,yes,210.3,3000262,1,0
0,92,408,no,1,0,348-2916,NY,82,45.15,265.6,75,15.36,180.7,2,2.32,8.6,113,9.5,no,211.1,3000263,1,0
0,70,415,no,1,0,339-8132,HI,91,33.54,197.3,81,25.99,305.8,6,1.81,6.7,105,7.69,no,171,3000264,1,0
0,22,408,no,1,14,374-1684,MO,100,33.85,199.1,103,18.85,221.8,1,1.13,4.2,91,2.96,yes,65.7,3000265,1,0
0,37,415,no,2,0,362-7604,NV,114,39.73,233.7,109,17.67,207.9,2,3.24,12,101,9.57,no,212.7,3000266,0,0
0,51,415,no,1,0,389-3206,MA,99,31.13,183.1,107,13.61,160.1,3,1.89,7,121,14.03,no,311.8,3000267,1,0
0,174,408,no,2,0,336-2829,NH,96,23.7,139.4,108,12.19,143.4,5,2.7,10,107,10.13,no,225.2,3000268,1,0
1,68,415,no,1,0,403-8916,UT,112,36.36,213.9,100,22.14,260.5,3,2.27,8.4,97,10.52,no,233.8,3000269,1,0
0,130,415,no,1,0,384-1135,FL,70,35.21,207.1,115,17.01,200.1,2,3.35,12.4,100,8.74,no,194.2,3000270,0,0
0,104,415,no,2,0,390-2320,WA,78,23.75,139.7,119,17.22,202.6,5,3.05,11.3,102,9.16,no,203.6,3000271,0,0
0,134,408,no,2,0,398-8578,CT,91,30.12,177.2,105,19.44,228.7,3,2.4,8.9,113,8.74,no,194.3,3000272,1,0
0,108,415,no,2,35,393-9424,KY,136,28.87,169.8,101,14.76,173.7,7,2.57,9.5,105,9.66,yes,214.6,3000273,1,0
0,103,415,no,3,0,417-6330,NM,83,29.5,173.5,65,20.77,244.3,2,2.62,9.7,66,9.97,no,221.6,3000274,0,0
0,62,510,no,1,0,340-6339,ND,100,27.18,159.9,99,14.64,172.2,4,1.51,5.6,109,11.84,no,263.2,3000275,0,0
0,162,415,no,2,0,380-6571,NV,89,19.57,115.1,111,16.73,196.8,3,3.08,11.4,98,9.56,no,212.4,3000276,1,0
0,93,510,no,2,19,368-6488,CA,113,23.26,136.8,105,15.26,179.5,3,3.38,12.5,95,3.2,yes,71.1,3000277,1,0
0,42,415,no,1,0,363-2193,ID,108,15.67,92.2,120,17.95,211.2,6,3.54,13.1,73,5.81,no,129.1,3000278,1,0
0,155,415,no,2,23,328-1206,OK,112,41.46,243.9,106,11.31,133,11,3.62,13.4,123,9.62,yes,213.7,3000279,1,0
0,36,510,no,0,0,385-3540,IA,94,19.91,117.1,117,20.01,235.4,2,2.43,9,108,9.96,no,221.3,3000280,1,0
1,143,415,no,0,0,337-7167,OH,99,37.96,223.3,128,14.2,167.1,4,1.22,4.5,84,9.14,no,203,3000281,1,0
0,197,510,no,3,0,372-8405,NJ,111,26.32,154.8,102,14.58,171.5,2,2.86,10.6,86,10.23,no,227.3,3000282,1,0
1,81,510,no,1,0,377-1273,IA,141,44.44,261.4,102,18.33,215.7,6,2.16,8,96,12.23,no,271.8,3000283,1,0
1,138,510,yes,4,0,380-7816,DE,104,7.91,46.5,114,15.81,186,4,2.59,9.6,95,7.54,no,167.5,3000284,1,0
1,103,415,no,0,18,402-6744,CA,84,25.48,149.9,84,14.53,170.9,7,3.11,11.5,112,7.72,yes,171.5,3000285,0,0
1,127,510,yes,2,0,400-2181,WY,102,41.17,242.2,80,19.22,226.1,5,3.75,13.9,96,11.34,no,252,3000286,2,0
1,136,510,no,1,0,366-1613,OR,99,44.1,259.4,125,14.68,172.7,6,2.89,10.7,78,13.22,no,293.7,3000287,0,0
0,99,415,no,2,0,347-8205,ME,102,37.81,222.4,89,15.79,185.8,8,3.24,12,81,10.7,no,237.7,3000288,0,0
0,95,415,no,0,0,328-2982,AR,79,11.8,69.4,109,16.22,190.8,5,2.4,8.9,102,9.9,no,219.9,3000289,2,0
1,118,408,yes,4,21,384-8723,ME,122,26.61,156.5,125,17.78,209.2,3,3,11.1,81,7.14,yes,158.7,3000290,1,0
1,113,415,no,5,0,341-7686,WV,111,10.4,61.2,88,7.85,92.3,3,3.7,13.7,114,8.88,no,197.4,3000291,1,0
0,128,408,yes,0,0,353-6038,PA,112,41.68,245.2,101,8.63,101.5,5,2.89,10.7,116,6.85,no,152.3,3000292,1,0
0,117,408,no,3,0,416-8827,HI,100,17.39,102.3,104,11.49,135.2,10,4.24,15.7,93,8.99,no,199.7,3000293,0,0
0,48,415,no,3,36,418-8450,MT,92,39.25,230.9,121,14.25,167.6,4,2.05,7.6,87,12.15,yes,270,3000294,1,0
0,81,510,yes,0,0,385-7861,DC,105,38.66,227.4,120,17.98,211.5,3,3.21,11.9,113,11.62,no,258.2,3000295,0,0
0,57,510,no,1,0,393-3507,AR,68,32.78,192.8,86,13.43,158,6,3.43,12.7,105,10.6,no,235.5,3000296,0,0
0,140,408,no,1,0,372-5262,MS,98,27.64,162.6,109,17.53,206.2,2,2.21,8.2,66,6.37,no,141.6,3000297,0,0
0,107,510,no,2,38,411-3095,OH,92,37.3,219.4,73,15.34,180.5,1,2.97,11,91,4.68,yes,104.1,3000298,1,0
0,56,415,no,1,0,331-5919,MO,111,23.32,137.2,119,14.1,165.9,4,3.86,14.3,72,8.2,no,182.3,3000299,1,0
0,159,415,no,1,0,402-1556,TX,103,14.91,87.7,97,23.65,278.2,10,2.84,10.5,93,7.68,no,170.6,3000300,1,0
0,102,415,no,1,0,349-7362,MD,80,46.09,271.1,133,14.62,172,5,2.78,10.3,105,7.61,no,169.2,3000301,1,0
0,107,408,no,1,0,339-2734,CT,94,17.58,103.4,125,16.09,189.3,3,3.89,14.4,125,10.22,no,227.2,3000302,1,0
0,106,408,no,2,0,330-4914,SC,106,8.87,52.2,113,18.71,220.1,2,3.08,11.4,95,5.05,no,112.3,3000303,1,0
1,225,415,no,0,0,371-2500,MI,106,28.12,165.4,109,23.26,273.7,3,2.35,8.7,93,9.45,no,210,3000304,1,0
0,75,408,no,2,0,335-3681,SD,110,25.08,147.5,97,16.29,191.7,3,4.43,16.4,68,6.08,no,135,3000305,1,0
0,86,415,no,0,0,405-1132,CO,93,37.03,217.8,95,18.25,214.7,7,3.05,11.3,70,10.29,no,228.7,3000306,0,0
0,169,415,no,1,0,399-9239,ID,79,40.07,235.7,85,11.64,136.9,10,3.59,13.3,97,9.94,no,220.9,3000307,1,0
0,122,510,no,2,22,350-7227,AZ,92,34.77,204.5,121,11.87,139.6,5,2.32,8.6,103,9.23,yes,205,3000308,1,0
0,106,408,no,0,0,384-6654,FL,143,30.33,178.4,123,21,247,2,2.59,9.6,105,11.7,no,259.9,3000309,1,0
0,52,415,no,2,32,376-4271,MN,68,22.12,130.1,77,21.01,247.2,5,3.65,13.5,87,13.02,yes,289.4,3000310,1,0
0,79,415,no,2,34,391-8124,DE,100,17.63,103.7,78,20.09,236.3,4,4,14.8,102,11.55,yes,256.6,3000311,1,0
0,135,415,no,2,0,393-2524,MI,91,40.78,239.9,104,15.05,177.1,3,1.59,5.9,118,9.77,no,217.2,3000312,1,0
0,70,408,no,0,0,384-4385,MS,110,25.23,148.4,90,22.7,267.1,4,2.4,8.9,101,6.82,no,151.5,3000313,0,0
0,80,408,no,2,0,377-8266,MA,106,25.26,148.6,65,17.92,210.8,2,2.7,10,86,9.17,no,203.7,3000314,0,0
0,37,415,no,0,0,345-1243,CA,69,32.49,191.1,113,10.98,129.2,1,3.48,12.9,117,9.34,no,207.5,3000315,1,0
0,161,415,no,1,39,394-8086,MN,76,37.15,218.5,94,9.58,112.7,4,1.97,7.3,121,9.23,yes,205.1,3000316,0,0
0,137,510,no,1,0,348-9145,VT,95,16.58,97.5,82,16.64,195.8,0,0,0,78,13,no,288.8,3000317,0,0
0,123,415,no,0,0,376-5201,CT,126,21.88,128.7,94,10,117.6,5,2.92,10.8,132,8.93,no,198.4,3000318,1,0
0,80,415,no,2,38,356-2093,WV,69,40.22,236.6,68,16.79,197.5,10,2.57,9.5,102,9.43,yes,209.5,3000319,1,0
